model,accuracy,f1,precision,recall,f1_binary,auroc,ap,span_precision,span_recall,span_f1,exact_match_rate,method
clean,0.6183574879227053,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.07246376811594203,lexical_span_verifier
missing_tool,0.5893719806763285,0.5405405405405406,0.5102040816326531,0.5747126436781609,0.5405405405405406,0.6349616858237549,0.5541587368424479,0.08018867924528301,0.09520390580126364,0.08705357142857144,0.014492753623188406,lexical_span_verifier
overgeneration,0.5507246376811594,0.4745762711864407,0.4666666666666667,0.4827586206896552,0.4745762711864407,0.5816570881226052,0.5078705807843884,0.06938325991189427,0.0820787492762015,0.07519893899204244,0.014492753623188406,lexical_span_verifier
tool_output_contradiction,0.5072463768115942,0.6730769230769231,1.0,0.5072463768115942,0.6730769230769231,,,0.0,0.0,0.0,0.043478260869565216,lexical_span_verifier
clean,0.782608695652174,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.5362318840579711,lettuce_span_supervised
missing_tool,0.6328502415458938,0.5476190476190477,0.5679012345679012,0.5287356321839081,0.5476190476190477,0.6509578544061302,0.5244287934877997,0.17380818844643858,0.44500287191269383,0.2499798338307655,0.28019323671497587,lettuce_span_supervised
overgeneration,0.714975845410628,0.6810810810810811,0.6428571428571429,0.7241379310344828,0.6810810810810811,0.782375478927203,0.6448689885716294,0.2855055385340561,0.8768094962362478,0.4307506311559933,0.28019323671497587,lettuce_span_supervised
tool_output_contradiction,0.5797101449275363,0.7339449541284404,1.0,0.5797101449275363,0.7339449541284404,,,0.0,0.0,0.0,0.18357487922705315,lettuce_span_supervised
clean,0.2946859903381642,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,lookback_span_supervised
missing_tool,0.5120772946859904,0.5774058577405857,0.45394736842105265,0.7931034482758621,0.5774058577405857,0.5872605363984674,0.5084962048763657,0.0,0.0,0.0,0.5797101449275363,lookback_span_supervised
overgeneration,0.4927536231884058,0.5531914893617021,0.4391891891891892,0.7471264367816092,0.5531914893617021,0.5595785440613027,0.4872333990239741,0.0,0.0,0.0,0.5797101449275363,lookback_span_supervised
tool_output_contradiction,0.6570048309178744,0.793002915451895,1.0,0.6570048309178744,0.793002915451895,,,0.0,0.0,0.0,1.0,lookback_span_supervised
clean,0.7101449275362319,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.06280193236714976,soft_vote_ensemble
missing_tool,0.6521739130434783,0.6170212765957447,0.5742574257425742,0.6666666666666666,0.6170212765957447,0.6881226053639847,0.6069266397886757,0.15090901201891788,0.49942561746122915,0.23178168005064811,0.014492753623188406,soft_vote_ensemble
overgeneration,0.7053140096618358,0.6934673366834171,0.6160714285714286,0.7931034482758621,0.6934673366834171,0.7773946360153257,0.6750673811462412,0.2342449464922711,0.8840474811812391,0.3703568937808909,0.014492753623188406,soft_vote_ensemble
tool_output_contradiction,0.6376811594202898,0.7787610619469026,1.0,0.6376811594202898,0.7787610619469026,,,0.0,0.0,0.0,0.014492753623188406,soft_vote_ensemble
